X,Y,fid,id,@id,description,fixme,height,highway,lamp_model,lamp_mount,lamp_type,leaf_type,level,light:count,light:lit,light:power,light:tilt,man_made,operator,source,support,tower:type,Z_1
77576.4739784059,74929.9051317377,7007,node/11916123661,node/11916123661,,,,street_lamp,,,,,,,,,,,,,,,261.607482910156
78244.1346868348,73801.3072242993,7021,node/12615685259,node/12615685259,,,,street_lamp,,,electric,,,,,,,,,,pole,,275.850006103516
78220.4827782499,73829.7207547332,7022,node/12615685260,node/12615685260,,,,street_lamp,,,led,,,,,,,,,,pole,,270.380004882812
78197.9935383991,73808.2953850913,7023,node/12615685261,node/12615685261,,,,street_lamp,,,led,,,,,,,,,,pole,,270.069976806641
77096.7728238671,72287.4193745309,7095,node/12861585404,node/12861585404,,,,street_lamp,,,,,,,,,,,,,,,284.132507324219
77072.0419708768,72286.6092846843,7096,node/12861585405,node/12861585405,,,,street_lamp,,,,,,,,,,,,,,,284.325012207031
77048.9610145448,72288.0784805019,7097,node/12861585406,node/12861585406,,,,street_lamp,,,,,,,,,,,,,,,287.297515869141
77025.8390320222,72293.9410601137,7098,node/12861585407,node/12861585407,,,,street_lamp,,,,,,,,,,,,,,,284.445007324219
77002.6700767266,72306.4770758531,7099,node/12861585408,node/12861585408,,,,street_lamp,,,,,,,,,,,,,,,285.970001220703
76984.4920325168,72321.5240972386,7100,node/12861585409,node/12861585409,,,,street_lamp,,,,,,,,,,,,,,,284.420013427734
76968.2624548223,72342.4648771215,7101,node/12861585410,node/12861585410,,,,street_lamp,,,,,,,,,,,,,,,285.119995117188
76950.6366084956,72388.3090524059,7102,node/12861585411,node/12861585411,,,,street_lamp,,,,,,,,,,,,,,,284.247497558594
76958.0853686615,72363.4135146561,7103,node/12861585412,node/12861585412,,,,street_lamp,,,,,,,,,,,,,,,284.304992675781
76707.9753349679,72418.3773314451,7104,node/12861585413,node/12861585413,,,,street_lamp,,,,,,,,,,,,,,,285.600006103516
76731.2441434713,72417.7407420489,7105,node/12861585414,node/12861585414,,,,street_lamp,,,,,,,,,,,,,,,284.989990234375
76754.1801323515,72416.7596587718,7106,node/12861585415,node/12861585415,,,,street_lamp,,,,,,,,,,,,,,,284.962493896484
76777.2611677763,72416.5015303678,7107,node/12861585416,node/12861585416,,,,street_lamp,,,,,,,,,,,,,,,285.065002441406
76800.4879131389,72418.1341882219,7108,node/12861585417,node/12861585417,,,,street_lamp,,,,,,,,,,,,,,,284.657501220703
76823.8086975637,72419.8558689689,7109,node/12861585418,node/12861585418,,,,street_lamp,,,,,,,,,,,,,,,284.369995117188
76869.3860838923,72421.186913525,7110,node/12861585419,node/12861585419,,,,street_lamp,,,,,,,,,,,,,,,283.782501220703
76846.6954782705,72421.3443299161,7111,node/12861585420,node/12861585420,,,,street_lamp,,,,,,,,,,,,,,,284.029998779297
76892.4664588963,72419.7725664117,7112,node/12861585421,node/12861585421,,,,street_lamp,,,,,,,,,,,,,,,287.070007324219
76915.6903664082,72416.3784878349,7113,node/12861585422,node/12861585422,,,,street_lamp,,,,,,,,,,,,,,,284.684997558594
76938.5734623038,72411.194023536,7114,node/12861585423,node/12861585423,,,,street_lamp,,,,,,,,,,,,,,,288.125
76902.6840172121,72485.0874875747,7115,node/12861585424,node/12861585424,,,,street_lamp,,,,,,,,,,,,,,,285.5
76926.1577502052,72489.3787477077,7116,node/12861585425,node/12861585425,,,,street_lamp,,,,,,,,,,,,,,,286.277496337891
76950.8369295391,72489.8990253281,7117,node/12861585426,node/12861585426,,,,street_lamp,,,,,,,,,,,,,,,286.115020751953
76973.9127194636,72480.5549038388,7118,node/12861585427,node/12861585427,,,,street_lamp,,,,,,,,,,,,,,,286.387512207031
76989.7129702877,72468.7011976977,7119,node/12861585428,node/12861585428,,,,street_lamp,,,,,,,,,,,,,,,286.735015869141
77017.2571364583,72471.9674080069,7120,node/12861585429,node/12861585429,,,,street_lamp,,,,,,,,,,,,,,,286.867492675781
77039.0690489772,72465.1378559515,7121,node/12861585430,node/12861585430,,,,street_lamp,,,,,,,,,,,,,,,285.897491455078
77063.0213595956,72458.3072615935,7122,node/12861585431,node/12861585431,,,,street_lamp,,,,,,,,,,,,,,,284.639984130859
77104.2899938892,72378.6062776215,7123,node/12861585432,node/12861585432,,,,street_lamp,,,,,,,,,,,,,,,282.657501220703
77114.0141988711,72431.5428487069,7124,node/12861585433,node/12861585433,,,,street_lamp,,,,,,,,,,,,,,,282.880004882812
77085.6604432921,72456.704889402,7125,node/12861585434,node/12861585434,,,,street_lamp,,,,,,,,,,,,,,,283.705017089844
77204.2168490694,72569.345273513,7126,node/12861585439,node/12861585439,,,,street_lamp,,,,,,,,,,,,,,,289.929992675781
77225.8518719034,72585.1502179971,7127,node/12861585440,node/12861585440,,,,street_lamp,,,,,,,,,,,,,,,290.559997558594
77245.8804709863,72598.7649704181,7128,node/12861585441,node/12861585441,,,,street_lamp,,,,,,,,,,,,,,,290.915008544922
77272.2098990827,72603.7347670025,7129,node/12861585442,node/12861585442,,,,street_lamp,,,,,,,,,,,,,,,290.477508544922
77296.7011848875,72605.6136122923,7130,node/12861585443,node/12861585443,,,,street_lamp,,,,,,,,,,,,,,,289.940002441406
77320.455243728,72608.1602534475,7131,node/12861585444,node/12861585444,,,,street_lamp,,,,,,,,,,,,,,,289.407501220703
77344.4640165919,72614.1992454134,7132,node/12861585445,node/12861585445,,,,street_lamp,,,,,,,,,,,,,,,289.304992675781
77365.8939538346,72610.3630533283,7133,node/12861585446,node/12861585446,,,,street_lamp,,,,,,,,,,,,,,,288.502502441406
77367.3813297292,72590.4869943681,7134,node/12861585447,node/12861585447,,,,street_lamp,,,,,,,,,,,,,,,287.162506103516
77356.9963253138,72571.6397886753,7135,node/12861585448,node/12861585448,,,,street_lamp,,,,,,,,,,,,,,,286.427520751953
77360.332745622,72547.5141764584,7136,node/12861585449,node/12861585449,,,,street_lamp,,,,,,,,,,,,,,,284.972503662109
77356.301281125,72523.9704069692,7137,node/12861585450,node/12861585450,,,,street_lamp,,,,,,,,,,,,,,,284.122497558594
77344.7011897107,72504.8235032483,7138,node/12861585451,node/12861585451,,,,street_lamp,,,,,,,,,,,,,,,283.517486572266
77324.3332457999,72492.4653592444,7139,node/12861585452,node/12861585452,,,,street_lamp,,,,,,,,,,,,,,,283.397521972656
77277.9245299608,72490.1187909912,7140,node/12861585453,node/12861585453,,,,street_lamp,,,,,,,,,,,,,,,283.640014648438
77302.1191287535,72490.4851877456,7141,node/12861585454,node/12861585454,,,,street_lamp,,,,,,,,,,,,,,,283.492523193359
77253.8309131385,72489.251953508,7142,node/12861585455,node/12861585455,,,,street_lamp,,,,,,,,,,,,,,,283.725006103516
77231.3274788237,72487.1832360019,7143,node/12861585456,node/12861585456,,,,street_lamp,,,,,,,,,,,,,,,290.839996337891
77207.1304856189,72482.079102165,7144,node/12861585457,node/12861585457,,,,street_lamp,,,,,,,,,,,,,,,283.605010986328
77183.7554098594,72472.3144627407,7145,node/12861585458,node/12861585458,,,,street_lamp,,,,,,,,,,,,,,,283.307495117188
